随机元素,您是否同意参加本次研究？,您线上购买服饰的频率？,您是否购买过与 AI 相关的产品或服务？,您的年龄,如果由您决定，您最多愿意为这件 T-shirt 支付多少钱？（0-500）,我愿意为这件 T-shirt 支付较高的价格。,我认为这件 T-shirt 值得这个价格。,我认为这种设计来源是可靠的。,我相信这种设计来源能够完成高质量的产品设计。,总体而言，我信任这种设计来源,我对人工智能（AI）有基本了解,我平时经常接触 AI 工具或应用,我比较熟悉 AI 在产品设计中的应用,我认为这件 T-shirt 是由 AI 完成设计的。,我认为这件 T-shirt 属于附加价值较高的产品。,,,
随机元素,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,,,
实验情境4,我同意并愿意继续作答,经常,否,28-32,121,5,6,6,4,6,5,4,2,1,2,,,
实验情境4,我同意并愿意继续作答,经常,是,18-22,138,6,5,7,4,4,4,6,4,2,1,,,
实验情境4,我同意并愿意继续作答,有时,否,33及以上,117,3,4,5,5,5,4,1,4,2,3,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,177,5,6,6,6,5,7,4,5,6,6,,,
实验情境4,我同意并愿意继续作答,偶尔,否,23-27,56,4,6,4,5,3,5,5,3,1,3,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,207,6,6,5,6,6,4,4,4,7,6,,,
实验情境4,我同意并愿意继续作答,有时,否,18-22,93,4,4,3,5,4,3,4,6,1,3,,,
实验情境1,我同意并愿意继续作答,有时,是,28-32,186,7,5,6,7,6,4,3,2,6,6,,,
实验情境4,我同意并愿意继续作答,有时,不确定,18-22,110,6,3,5,5,4,5,5,4,2,1,,,
实验情境2,我同意并愿意继续作答,有时,不确定,23-27,170,6,5,5,6,4,2,3,3,4,2,,,
实验情境3,我同意并愿意继续作答,非常频繁,不确定,28-32,134,6,5,3,6,3,3,4,4,1,5,,,
实验情境3,我同意并愿意继续作答,偶尔,是,18-22,191,4,5,4,6,4,5,4,5,1,7,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,77,4,6,4,5,6,4,5,4,6,3,,,
实验情境4,我同意并愿意继续作答,经常,是,18-22,99,3,5,5,5,4,5,5,4,2,2,,,
实验情境1,我同意并愿意继续作答,有时,否,28-32,175,7,4,6,5,6,4,3,4,6,5,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,28-32,193,5,3,5,6,6,5,5,5,2,7,,,
实验情境1,我同意并愿意继续作答,偶尔,否,23-27,190,6,6,6,5,7,3,5,4,7,6,,,
实验情境4,我同意并愿意继续作答,非常频繁,否,33及以上,148,5,4,7,5,4,3,5,5,1,3,,,
实验情境3,我同意并愿意继续作答,有时,否,18-22,203,4,4,5,5,6,2,4,6,2,5,,,
实验情境4,我同意并愿意继续作答,经常,否,28-32,160,5,2,5,5,6,4,4,6,2,1,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,23-27,224,5,7,7,4,6,4,5,4,2,7,,,
实验情境2,我同意并愿意继续作答,非常频繁,不确定,33及以上,200,5,5,5,7,5,3,5,5,6,5,,,
实验情境2,我同意并愿意继续作答,偶尔,否,28-32,160,6,3,6,6,5,4,4,4,6,1,,,
实验情境3,我同意并愿意继续作答,经常,是,18-22,177,7,4,6,5,5,6,5,5,2,4,,,
实验情境1,我同意并愿意继续作答,经常,否,23-27,182,7,4,6,6,6,3,5,5,6,4,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,148,5,3,5,5,5,4,4,5,7,2,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,134,3,4,4,5,5,4,5,1,5,4,,,
实验情境1,我同意并愿意继续作答,经常,否,23-27,199,7,6,5,6,7,5,4,5,7,6,,,
实验情境3,我同意并愿意继续作答,经常,不确定,23-27,211,5,3,5,5,6,3,1,4,2,6,,,
实验情境1,我同意并愿意继续作答,有时,不确定,23-27,267,5,5,6,4,5,6,3,3,7,7,,,
实验情境4,我同意并愿意继续作答,经常,是,23-27,139,4,5,6,5,5,5,5,6,1,3,,,
实验情境3,我同意并愿意继续作答,偶尔,不确定,18-22,126,3,6,5,5,4,4,4,5,3,7,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,255,6,5,4,6,6,5,5,3,6,6,,,
实验情境3,我同意并愿意继续作答,有时,否,33及以上,160,6,5,4,4,4,5,4,2,1,6,,,
实验情境1,我同意并愿意继续作答,偶尔,否,18-22,226,6,6,6,6,6,5,3,4,7,6,,,
实验情境4,我同意并愿意继续作答,偶尔,是,18-22,142,2,5,6,4,5,4,4,5,1,3,,,
实验情境2,我同意并愿意继续作答,很少,是,33及以上,89,5,4,5,5,5,7,6,5,5,3,,,
实验情境2,我同意并愿意继续作答,很少,是,18-22,131,5,4,6,5,6,4,7,7,6,2,,,
实验情境1,我同意并愿意继续作答,经常,不确定,28-32,146,5,6,5,5,4,4,5,4,7,5,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,115,5,5,6,5,6,3,3,3,7,1,,,
实验情境4,我同意并愿意继续作答,偶尔,否,23-27,199,5,5,5,4,5,3,2,4,2,4,,,
实验情境2,我同意并愿意继续作答,很少,不确定,33及以上,128,5,5,6,5,5,3,4,6,7,1,,,
实验情境4,我同意并愿意继续作答,非常频繁,不确定,18-22,140,5,5,4,3,6,4,5,4,2,2,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,134,5,6,4,6,6,6,5,6,6,6,,,
实验情境2,我同意并愿意继续作答,非常频繁,否,18-22,168,5,4,5,5,5,3,3,5,7,4,,,
实验情境3,我同意并愿意继续作答,有时,是,18-22,185,5,5,6,5,5,5,7,6,2,5,,,
实验情境4,我同意并愿意继续作答,偶尔,是,28-32,153,3,5,5,4,5,5,6,5,2,3,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,18-22,209,5,5,7,5,5,4,2,4,1,6,,,
实验情境4,我同意并愿意继续作答,有时,是,28-32,143,5,4,4,6,5,6,4,5,2,2,,,
实验情境3,我同意并愿意继续作答,经常,否,23-27,107,5,5,4,6,6,4,3,3,3,5,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,207,6,5,6,4,5,2,5,4,6,2,,,
实验情境4,我同意并愿意继续作答,很少,不确定,18-22,158,5,5,4,6,5,1,4,4,2,4,,,
实验情境1,我同意并愿意继续作答,有时,否,18-22,261,7,7,7,7,6,4,6,5,6,6,,,
实验情境4,我同意并愿意继续作答,很少,否,33及以上,106,5,3,4,3,4,2,5,3,3,2,,,
实验情境2,我同意并愿意继续作答,经常,不确定,18-22,202,3,6,6,6,6,3,2,2,7,1,,,
实验情境4,我同意并愿意继续作答,经常,不确定,23-27,161,5,6,5,6,5,3,5,4,2,3,,,
实验情境1,我同意并愿意继续作答,偶尔,不确定,28-32,127,4,5,6,4,5,5,4,4,7,6,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,148,6,7,6,6,4,4,5,4,7,7,,,
实验情境2,我同意并愿意继续作答,偶尔,不确定,28-32,169,5,5,4,5,5,3,4,4,6,3,,,
实验情境2,我同意并愿意继续作答,偶尔,是,23-27,136,6,5,5,5,7,5,4,5,6,2,,,
实验情境2,我同意并愿意继续作答,经常,否,18-22,172,5,6,6,5,5,5,4,4,7,2,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,156,6,6,5,5,5,5,3,6,6,6,,,
实验情境2,我同意并愿意继续作答,有时,否,33及以上,133,5,5,5,5,6,4,3,4,5,2,,,
实验情境2,我同意并愿意继续作答,经常,不确定,33及以上,152,6,6,6,7,6,3,3,5,6,3,,,
实验情境2,我同意并愿意继续作答,偶尔,否,23-27,123,4,4,5,6,5,6,3,3,5,4,,,
实验情境4,我同意并愿意继续作答,经常,否,23-27,76,5,3,5,6,4,2,4,5,2,4,,,
实验情境1,我同意并愿意继续作答,有时,不确定,28-32,169,7,7,6,6,6,5,2,3,6,7,,,
实验情境3,我同意并愿意继续作答,有时,否,18-22,157,5,5,5,5,4,5,3,3,1,5,,,
