随机元素,您是否同意参加本次研究？,您线上购买服饰的频率？,您是否购买过与 AI 相关的产品或服务？,您的年龄,如果由您决定，您最多愿意为这件 T-shirt 支付多少钱？（0-500）,我愿意为这件 T-shirt 支付较高的价格。,我认为这件 T-shirt 值得这个价格。,我认为这种设计来源是可靠的。,我相信这种设计来源能够完成高质量的产品设计。,总体而言，我信任这种设计来源,我对人工智能（AI）有基本了解,我平时经常接触 AI 工具或应用,我比较熟悉 AI 在产品设计中的应用,我认为这件 T-shirt 是由 AI 完成设计的。,我认为这件 T-shirt 属于附加价值较高的产品。,,,
随机元素,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,,,
实验情境4,我同意并愿意继续作答,经常,否,28-32,120,5,6,6,4,6,5,4,2,1,2,,,
实验情境4,我同意并愿意继续作答,经常,是,18-22,140,6,5,7,4,4,4,6,4,2,1,,,
实验情境4,我同意并愿意继续作答,有时,否,33及以上,120,3,4,5,5,5,4,1,4,2,3,,,
实验情境1,我同意并愿意继续作答,有时,是,18-22,180,5,6,6,6,5,7,4,5,6,6,,,
实验情境4,我同意并愿意继续作答,偶尔,否,23-27,60,4,6,4,5,3,5,5,3,1,3,,,
实验情境1,我同意并愿意继续作答,经常,否,28-32,210,6,6,5,6,6,4,4,4,7,6,,,
实验情境4,我同意并愿意继续作答,有时,否,18-22,90,4,4,3,5,4,3,4,6,1,3,,,
实验情境1,我同意并愿意继续作答,有时,是,28-32,190,7,5,6,7,6,4,3,2,6,6,,,
实验情境4,我同意并愿意继续作答,有时,不确定,18-22,110,6,3,5,5,4,5,5,4,2,1,,,
实验情境2,我同意并愿意继续作答,有时,不确定,23-27,170,6,5,5,6,4,2,3,3,4,2,,,
实验情境3,我同意并愿意继续作答,非常频繁,不确定,28-32,130,6,5,3,6,3,3,4,4,1,5,,,
实验情境3,我同意并愿意继续作答,偶尔,是,18-22,190,4,5,4,6,4,5,4,5,1,7,,,
实验情境2,我同意并愿意继续作答,有时,否,23-27,80,4,6,4,5,6,4,5,4,6,3,,,
实验情境4,我同意并愿意继续作答,经常,是,18-22,100,3,5,5,5,4,5,5,4,2,2,,,
实验情境1,我同意并愿意继续作答,有时,否,28-32,180,7,4,6,5,6,4,3,4,6,5,,,
实验情境3,我同意并愿意继续作答,非常频繁,是,28-32,190,5,3,5,6,6,5,5,5,2,7,,,
实验情境1,我同意并愿意继续作答,偶尔,否,23-27,190,6,6,6,5,7,3,5,4,7,6,,,
实验情境4,我同意并愿意继续作答,非常频繁,否,33及以上,150,5,4,7,5,4,3,5,5,1,3,,,
实验情境3,我同意并愿意继续作答,有时,否,18-22,200,4,4,5,5,6,2,4,6,2,5,,,
实验情境4,我同意并愿意继续作答,经常,否,28-32,160,5,2,5,5,6,4,4,6,2,1,,,
实验情境3,我同意并愿意继续作答,非常频繁,否,23-27,220,5,7,7,4,6,4,5,4,2,7,,,
